name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.action_tags\` has a foreign key \`action_tags_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""action_tags"",""type"":""table"",""schema"":""public"",""fkey_name"":""action_tags_created_by_fkey"",""fkey_columns"":[5]}",unindexed_foreign_keys_public_action_tags_action_tags_created_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.macrorregioes\` has a foreign key \`macrorregioes_focal_point_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""macrorregioes"",""type"":""table"",""schema"":""public"",""fkey_name"":""macrorregioes_focal_point_id_fkey"",""fkey_columns"":[5]}",unindexed_foreign_keys_public_macrorregioes_macrorregioes_focal_point_id_fkey
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_objectives_status\` on table \`public.objectives\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""objectives"",""type"":""table"",""schema"":""public""}",unused_index_public_objectives_idx_objectives_status
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_objectives_microregiao\` on table \`public.objectives\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""objectives"",""type"":""table"",""schema"":""public""}",unused_index_public_objectives_idx_objectives_microregiao
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_action_comments_action_id_created_at\` on table \`public.action_comments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""action_comments"",""type"":""table"",""schema"":""public""}",unused_index_public_action_comments_idx_action_comments_action_id_created_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_profiles_ativo\` on table \`public.profiles\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""profiles"",""type"":""table"",""schema"":""public""}",unused_index_public_profiles_idx_profiles_ativo
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_actions_activity\` on table \`public.actions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""actions"",""type"":""table"",""schema"":""public""}",unused_index_public_actions_idx_actions_activity
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_activity_logs_entity_id\` on table \`public.activity_logs\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""activity_logs"",""type"":""table"",""schema"":""public""}",unused_index_public_activity_logs_idx_activity_logs_entity_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_profiles_microregiao\` on table \`public.profiles\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""profiles"",""type"":""table"",""schema"":""public""}",unused_index_public_profiles_idx_profiles_microregiao
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_profiles_role_microregiao\` on table \`public.profiles\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""profiles"",""type"":""table"",""schema"":""public""}",unused_index_public_profiles_idx_profiles_role_microregiao
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_action_comments_author_id\` on table \`public.action_comments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""action_comments"",""type"":""table"",""schema"":""public""}",unused_index_public_action_comments_idx_action_comments_author_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_profiles_microregiao_active\` on table \`public.profiles\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""profiles"",""type"":""table"",""schema"":""public""}",unused_index_public_profiles_idx_profiles_microregiao_active
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_action_raci_action_id\` on table \`public.action_raci\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""action_raci"",""type"":""table"",""schema"":""public""}",unused_index_public_action_raci_idx_action_raci_action_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_action_comments_action_id\` on table \`public.action_comments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""action_comments"",""type"":""table"",""schema"":""public""}",unused_index_public_action_comments_idx_action_comments_action_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_action_tag_assignments_uid\` on table \`public.action_tag_assignments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""action_tag_assignments"",""type"":""table"",""schema"":""public""}",unused_index_public_action_tag_assignments_idx_action_tag_assignments_uid
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_activity_logs_type\` on table \`public.activity_logs\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""activity_logs"",""type"":""table"",""schema"":""public""}",unused_index_public_activity_logs_idx_activity_logs_type
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_microregioes_macro\` on table \`public.microregioes\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""microregioes"",""type"":""table"",""schema"":""public""}",unused_index_public_microregioes_idx_microregioes_macro
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_comments_parent\` on table \`public.action_comments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""action_comments"",""type"":""table"",""schema"":""public""}",unused_index_public_action_comments_idx_comments_parent
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_announcements_display_date\` on table \`public.announcements\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""announcements"",""type"":""table"",""schema"":""public""}",unused_index_public_announcements_idx_announcements_display_date
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_profiles_created_at\` on table \`public.profiles\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""profiles"",""type"":""table"",""schema"":""public""}",unused_index_public_profiles_idx_profiles_created_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_action_tag_assignments_tag_id\` on table \`public.action_tag_assignments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""action_tag_assignments"",""type"":""table"",""schema"":""public""}",unused_index_public_action_tag_assignments_idx_action_tag_assignments_tag_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_profiles_created_by\` on table \`public.profiles\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""profiles"",""type"":""table"",""schema"":""public""}",unused_index_public_profiles_idx_profiles_created_by
